Fecha/hora,TR1.,Activa (KWh),TR1.E.Reactiva
04/01/2022,23:00:00,19.205,0
04/01/2022,23:15:00,20.031,0
04/01/2022,23:30:00,19.334,0
04/01/2022,23:45:00,19.117,0
05/01/2022,00:00:00,18.868,0
05/01/2022,00:15:00,22.551,0
05/01/2022,00:30:00,21.9,0
05/01/2022,00:45:00,19.262,0
05/01/2022,01:00:00,19.013,0
05/01/2022,01:15:00,18.874,0
05/01/2022,01:30:00,18.811,0
05/01/2022,01:45:00,18.76,0
05/01/2022,02:00:00,18.746,0
05/01/2022,02:15:00,18.696,0
05/01/2022,02:30:00,18.731,0
05/01/2022,02:45:00,18.738,0
05/01/2022,03:00:00,24.493,0
05/01/2022,03:15:00,18.716,0
05/01/2022,03:30:00,18.742,0
05/01/2022,03:45:00,18.715,0
05/01/2022,04:00:00,18.762,0
05/01/2022,04:15:00,19.869,0
05/01/2022,04:30:00,19.11,0
05/01/2022,04:45:00,18.953,0
05/01/2022,05:00:00,18.704,0
05/01/2022,05:15:00,18.672,0
05/01/2022,05:30:00,23.694,0
05/01/2022,05:45:00,19.219,0
05/01/2022,06:00:00,18.484,0
05/01/2022,06:15:00,18.317,0
05/01/2022,06:30:00,18.307,0
05/01/2022,06:45:00,18.302,0
05/01/2022,07:00:00,18.19,0
05/01/2022,07:15:00,16.833,0
05/01/2022,07:30:00,14.504,0
05/01/2022,07:45:00,13.303,0
05/01/2022,08:00:00,18.739,0
05/01/2022,08:15:00,15.241,0
05/01/2022,08:30:00,17.407,0
05/01/2022,08:45:00,15.868,0
05/01/2022,09:00:00,20.755,0
05/01/2022,09:15:00,23.856,0
05/01/2022,09:30:00,30.011,0
05/01/2022,09:45:00,26.734,0
05/01/2022,10:00:00,26.799,0
05/01/2022,10:15:00,29.664,0
05/01/2022,10:30:00,27.385,0
05/01/2022,10:45:00,28.255,0
05/01/2022,11:00:00,24.424,0
05/01/2022,11:15:00,49.22,0
05/01/2022,11:30:00,56.721,0
05/01/2022,11:45:00,54.925,0
05/01/2022,12:00:00,53.497,0
05/01/2022,12:15:00,50.66,0
05/01/2022,12:30:00,51.637,0
05/01/2022,12:45:00,56.459,0
05/01/2022,13:00:00,57.014,0
05/01/2022,13:15:00,56.27,0
05/01/2022,13:30:00,49.823,0
05/01/2022,13:45:00,47.966,0
05/01/2022,14:00:00,48.425,0
05/01/2022,14:15:00,55.173,0
05/01/2022,14:30:00,56.441,0
05/01/2022,14:45:00,53.867,0
05/01/2022,15:00:00,37.331,0
05/01/2022,15:15:00,31.172,0
05/01/2022,15:30:00,31.053,0
05/01/2022,15:45:00,32.488,0
05/01/2022,16:00:00,31.46,0
05/01/2022,16:15:00,46.572,0
05/01/2022,16:30:00,54.922,0
05/01/2022,16:45:00,55.23,0
05/01/2022,17:00:00,49.442,0
05/01/2022,17:15:00,40.162,0
05/01/2022,17:30:00,49.283,0
05/01/2022,17:45:00,53.987,0
05/01/2022,18:00:00,43.944,0
05/01/2022,18:15:00,37.605,0
05/01/2022,18:30:00,37.631,0
05/01/2022,18:45:00,36.755,0
05/01/2022,19:00:00,35.775,0
05/01/2022,19:15:00,34.267,0
05/01/2022,19:30:00,32.816,0
05/01/2022,19:45:00,30.446,0
05/01/2022,20:00:00,22.501,0
05/01/2022,20:15:00,21.523,0
05/01/2022,20:30:00,21.021,0
05/01/2022,20:45:00,20.735,0
05/01/2022,21:00:00,21.609,0
05/01/2022,21:15:00,20.915,0
05/01/2022,21:30:00,26.077,0
05/01/2022,21:45:00,20.433,0
05/01/2022,22:00:00,20.325,0
05/01/2022,22:15:00,20.043,0
05/01/2022,22:30:00,19.955,0
05/01/2022,22:45:00,19.938,0
05/01/2022,23:00:00,19.971,0
05/01/2022,23:15:00,20.11,0
05/01/2022,23:30:00,19.879,0
05/01/2022,23:45:00,19.85,0
06/01/2022,00:00:00,22.229,0
06/01/2022,00:15:00,24.126,0
06/01/2022,00:30:00,21.12,0
06/01/2022,00:45:00,20.955,0
06/01/2022,01:00:00,20.762,0
06/01/2022,01:15:00,20.824,0
06/01/2022,01:30:00,20.822,0
06/01/2022,01:45:00,20.891,0
06/01/2022,02:00:00,20.891,0
06/01/2022,02:15:00,22.325,0
06/01/2022,02:30:00,21.394,0
06/01/2022,02:45:00,24.772,0
06/01/2022,03:00:00,22.989,0
06/01/2022,03:15:00,20.856,0
06/01/2022,03:30:00,20.769,0
06/01/2022,03:45:00,20.789,0
06/01/2022,04:00:00,20.634,0
06/01/2022,04:15:00,20.545,0
06/01/2022,04:30:00,20.498,0
06/01/2022,04:45:00,20.485,0
06/01/2022,05:00:00,21.259,0
06/01/2022,05:15:00,21.216,0
06/01/2022,05:30:00,24.363,0
06/01/2022,05:45:00,22.649,0
06/01/2022,06:00:00,20.389,0
06/01/2022,06:15:00,20.476,0
06/01/2022,06:30:00,21.28,0
06/01/2022,06:45:00,20.998,0
06/01/2022,07:00:00,21.419,0
06/01/2022,11:00:00,21.451,0
06/01/2022,11:15:00,20.516,0
06/01/2022,11:30:00,16.392,0.045
06/01/2022,11:45:00,16.598,0
06/01/2022,12:00:00,19.848,0
06/01/2022,12:15:00,17.549,0
06/01/2022,12:30:00,23.856,0
06/01/2022,12:45:00,24.598,0.061
06/01/2022,13:00:00,21.636,0
06/01/2022,13:15:00,22.535,0.065
06/01/2022,13:30:00,22.95,0.024
06/01/2022,13:45:00,23.659,0.07
06/01/2022,14:00:00,22.417,0.022
06/01/2022,14:15:00,20.72,0
06/01/2022,14:30:00,20.225,0.075
06/01/2022,14:45:00,19.62,0.06
06/01/2022,15:00:00,20.024,0.072
06/01/2022,15:15:00,19.16,0.015
06/01/2022,15:30:00,18.65,0.097
06/01/2022,15:45:00,21.363,0.07
06/01/2022,16:00:00,23.556,0.062
06/01/2022,16:15:00,22.551,0.794
06/01/2022,16:30:00,25.088,0
06/01/2022,16:45:00,23,0.067
06/01/2022,17:00:00,28.028,0
06/01/2022,17:15:00,60.628,0
06/01/2022,17:30:00,62.127,0
06/01/2022,17:45:00,59.223,0
06/01/2022,18:00:00,42.552,0
06/01/2022,18:15:00,37.306,0
06/01/2022,18:30:00,35.217,0
06/01/2022,18:45:00,36.638,0
06/01/2022,19:00:00,34.153,0
06/01/2022,19:15:00,31.9,0
06/01/2022,19:30:00,34.368,0
06/01/2022,19:45:00,23.73,0
06/01/2022,20:00:00,28.139,0
06/01/2022,20:15:00,22.027,0
06/01/2022,20:30:00,21.811,0
06/01/2022,20:45:00,21.658,0
06/01/2022,21:00:00,20.894,0
06/01/2022,21:15:00,20.89,0
06/01/2022,21:30:00,20.11,0
06/01/2022,21:45:00,19.911,0
06/01/2022,22:00:00,23.512,0
06/01/2022,22:15:00,22.44,0
06/01/2022,22:30:00,20.6,0
06/01/2022,22:45:00,21.042,0
06/01/2022,23:00:00,20.33,0
06/01/2022,23:15:00,21.048,0
06/01/2022,23:30:00,20.92,0
06/01/2022,23:45:00,20.653,0
07/01/2022,00:00:00,20.503,0
07/01/2022,00:15:00,25.125,0
07/01/2022,00:30:00,20.289,0
07/01/2022,00:45:00,19.586,0
07/01/2022,01:00:00,19.675,0
07/01/2022,01:15:00,19.608,0
07/01/2022,01:30:00,19.459,0
07/01/2022,01:45:00,19.413,0
07/01/2022,02:00:00,19.321,0
07/01/2022,02:15:00,19.301,0
07/01/2022,02:30:00,26.065,0
07/01/2022,02:45:00,19.766,0
07/01/2022,03:00:00,19.577,0
07/01/2022,03:15:00,19.361,0
07/01/2022,03:30:00,19.451,0
07/01/2022,03:45:00,19.443,0
07/01/2022,04:00:00,20.166,0
07/01/2022,04:15:00,19.619,0
07/01/2022,04:30:00,23.123,0
07/01/2022,04:45:00,21.421,0
07/01/2022,05:00:00,19.879,0
07/01/2022,05:15:00,20.169,0
07/01/2022,05:30:00,19.621,0
07/01/2022,05:45:00,19.331,0
07/01/2022,06:00:00,19.299,0
07/01/2022,06:15:00,19.71,0
07/01/2022,06:30:00,20.719,0
07/01/2022,06:45:00,25.408,0
07/01/2022,07:00:00,19.991,0
07/01/2022,07:15:00,18.204,0
07/01/2022,07:30:00,15.875,0
07/01/2022,07:45:00,18.383,0
07/01/2022,08:00:00,13.403,0
07/01/2022,08:15:00,13.35,0
07/01/2022,08:30:00,13.223,0
07/01/2022,08:45:00,15.227,0
07/01/2022,09:00:00,20.029,0
07/01/2022,09:15:00,19.213,0
07/01/2022,09:30:00,16.285,0
07/01/2022,06:45:00,20.573,0
